                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6791,                 4.4932,                 1.8287,                0.28463,                0.44582,                0.33158,                0.13231,                 2.2997,                 2.8576,                 1.0207,                    0.1,                      0,                      0
                      1,                 3.7433,                 4.5363,                 1.7475,                0.27614,                0.45201,                0.32764,                0.13529,                 2.3025,                  2.808,                 1.0263,                 0.0991,              9.967e-05,              9.967e-05
                      2,                 3.6109,                 4.4541,                 1.8402,                 0.2761,                 0.4558,                0.32715,                0.13593,                 2.2933,                 2.7497,                  1.028,               0.098199,             0.00019868,             0.00019868
                      3,                 2.9223,                 4.3373,                 1.6962,                0.26576,                0.47678,                  0.334,                0.13855,                 2.2739,                 2.6553,                 1.0302,               0.097297,             0.00029703,             0.00029703
                      4,                 3.5934,                 4.5268,                 1.7465,                0.26833,                0.49845,                 0.3466,                0.14208,                 2.2405,                  2.528,                 1.0308,               0.096395,             0.00039472,             0.00039472
                      5,                 3.1212,                 4.1196,                 1.7272,                0.28603,                0.50155,                0.35866,                0.14736,                 2.2075,                 2.3728,                 1.0321,               0.095492,             0.00049175,             0.00049175
                      6,                 2.6639,                 3.9365,                 1.7468,                0.30603,                0.52012,                0.38231,                0.16163,                 2.1737,                 2.1886,                 1.0365,               0.094588,             0.00058812,             0.00058812
                      7,                 3.0346,                 3.8572,                 1.7127,                0.33419,                0.52834,                0.43609,                0.18383,                 2.1344,                  1.943,                 1.0423,               0.093684,             0.00068383,             0.00068383
                      8,                 2.9042,                 3.1818,                 1.6233,                0.57126,                0.43034,                0.48399,                0.20654,                 2.1088,                 1.6418,                 1.0478,               0.092779,             0.00077888,             0.00077888
                      9,                 2.9367,                 3.2644,                 1.6037,                0.60917,                0.50155,                0.53198,                 0.2328,                 2.0864,                 1.3463,                 1.0527,               0.091873,             0.00087327,             0.00087327
                     10,                 3.6591,                 3.2927,                 1.6186,                0.63331,                0.54005,                 0.5715,                 0.2524,                   2.06,                 1.1863,                 1.0565,               0.090967,               0.000967,               0.000967
                     11,                 2.2914,                 2.5271,                 1.5583,                0.64674,                0.54799,                0.58857,                0.26604,                 2.0315,                 1.2549,                 1.0542,                0.09006,              0.0010601,              0.0010601
                     12,                 3.5134,                 2.8061,                 1.5524,                0.65788,                0.56966,                0.62331,                0.28046,                 2.0031,                 1.5075,                 1.0498,               0.089152,              0.0011525,              0.0011525
                     13,                 2.6735,                 2.4525,                 1.4447,                0.64962,                0.58549,                0.64174,                0.28679,                 1.9924,                 1.8964,                 1.0484,               0.088244,              0.0012442,              0.0012442
                     14,                 2.1585,                 1.6023,                 1.3062,                0.61479,                0.62539,                0.64231,                0.28974,                 1.9874,                 2.2379,                 1.0494,               0.087335,              0.0013353,              0.0013353
                     15,                 2.0998,                 1.7437,                 1.3713,                0.61295,                0.62229,                0.64427,                0.29443,                 1.9859,                 2.5342,                 1.0527,               0.086426,              0.0014257,              0.0014257
                     16,                 2.3164,                   1.54,                 1.3179,                0.61304,                0.63158,                0.65103,                 0.2937,                  1.987,                 2.6819,                 1.0558,               0.085516,              0.0015155,              0.0015155
                     17,                 2.2058,                  1.471,                 1.2816,                0.60713,                0.62848,                0.64405,                0.29126,                 1.9918,                 2.7634,                 1.0625,               0.084605,              0.0016046,              0.0016046
                     18,                 2.3844,                 1.4866,                 1.2851,                0.60937,                 0.6192,                 0.6324,                0.29207,                 1.9848,                 2.5692,                 1.0648,               0.083693,              0.0016931,              0.0016931
                     19,                  2.076,                 1.2711,                 1.3033,                0.62331,                0.62501,                0.62998,                0.29471,                 1.9759,                 2.4926,                 1.0688,               0.082781,              0.0017809,              0.0017809
                     20,                 2.1843,                 1.1394,                 1.1865,                0.63421,                0.61193,                 0.6263,                0.29217,                   1.96,                  2.185,                 1.0694,               0.081868,               0.001868,               0.001868
                     21,                 2.2912,                 1.1302,                 1.2346,                0.64027,                0.63158,                0.62558,                  0.286,                 1.9734,                  1.904,                 1.0743,               0.080954,              0.0019545,              0.0019545
                     22,                 2.2441,                 1.1614,                 1.2657,                0.63624,                0.62229,                0.62778,                0.27881,                 2.0037,                 1.6328,                 1.0693,                0.08004,              0.0020403,              0.0020403
                     23,                 1.9134,                 1.0023,                 1.1812,                0.68712,                0.62848,                0.65254,                 0.2873,                 2.0047,                  1.595,                 1.0759,               0.079125,              0.0021254,              0.0021254
                     24,                 1.8312,                 1.1657,                 1.3223,                0.69144,                0.60372,                0.64513,                0.29772,                 1.9482,                 1.5025,                  1.079,                0.07821,              0.0022099,              0.0022099
                     25,                 2.2662,                0.97523,                 1.1615,                0.68923,                0.61798,                0.66168,                0.28851,                 2.0053,                 1.3948,                 1.0792,               0.077294,              0.0022938,              0.0022938
                     26,                 1.7541,                 1.0575,                 1.2945,                0.70104,                0.60681,                 0.6488,                0.29322,                 1.9796,                 1.5298,                 1.0871,               0.076377,              0.0023769,              0.0023769
                     27,                 1.6534,                0.97243,                 1.2317,                0.70409,                0.58932,                0.62453,                0.30021,                 1.9361,                 1.7439,                 1.0972,               0.075459,              0.0024594,              0.0024594
                     28,                 2.3611,                 1.0643,                 1.2895,                0.70428,                0.60372,                0.65321,                0.29743,                 1.9505,                 1.6189,                 1.0848,               0.074541,              0.0025413,              0.0025413
                     29,                  2.066,                0.91361,                 1.2509,                0.70381,                0.63158,                0.66878,                0.28834,                  1.975,                 1.7786,                 1.0776,               0.073622,              0.0026225,              0.0026225
                     30,                 1.5994,                0.95676,                 1.2144,                0.70441,                0.61975,                0.64151,                0.29638,                 1.9329,                  1.653,                 1.0804,               0.072703,               0.002703,               0.002703
                     31,                 1.5382,                0.90874,                 1.1981,                0.67927,                0.60681,                0.63037,                0.30017,                 1.9355,                  1.725,                 1.0874,               0.071783,              0.0027829,              0.0027829
                     32,                 1.4917,                0.84893,                 1.1431,                 0.6852,                0.60372,                0.64457,                 0.3132,                 1.9256,                 1.7392,                 1.0931,               0.070862,              0.0028621,              0.0028621
                     33,                 1.6217,                0.82133,                 1.1068,                0.72181,                  0.613,                0.66366,                0.31511,                 1.9103,                 1.8284,                 1.0787,               0.069941,              0.0029406,              0.0029406
                     34,                 1.4665,                0.77566,                 1.0862,                0.71053,                 0.6192,                0.66921,                0.30784,                 1.9319,                 1.9459,                 1.0802,               0.069019,              0.0030185,              0.0030185
                     35,                  1.612,                0.79759,                 1.0964,                0.69529,                  0.657,                0.65647,                0.30991,                 1.8793,                 1.6121,                 1.0673,               0.068096,              0.0030958,              0.0030958
                     36,                 2.0482,                0.83069,                 1.0841,                0.69944,                0.66563,                 0.6733,                0.29826,                 1.9495,                 1.5772,                  1.051,               0.067172,              0.0031723,              0.0031723
                     37,                  1.587,                0.81038,                 1.0776,                0.67164,                0.68392,                0.64886,                0.29905,                 1.9182,                 1.9287,                  1.046,               0.066248,              0.0032482,              0.0032482
                     38,                 1.4502,                0.79824,                 1.1215,                0.70333,                0.65944,                0.66227,                0.31652,                 1.8863,                 1.9509,                 1.0459,               0.065323,              0.0033235,              0.0033235
                     39,                  1.701,                0.75174,                 1.0585,                0.69965,                0.67791,                0.68386,                0.30668,                 1.8917,                 1.8911,                 1.0366,               0.064398,              0.0033981,              0.0033981
                     40,                 1.7458,                0.78945,                 1.0872,                0.68631,                0.68421,                0.68051,                 0.3145,                 1.8779,                 1.8855,                 1.0227,               0.063472,               0.003472,               0.003472
                     41,                 1.5094,                0.72669,                 1.0641,                0.72631,                0.66563,                0.68534,                0.29568,                 1.9506,                 2.1468,                 1.0214,               0.062545,              0.0035453,              0.0035453
                     42,                 1.7282,                 0.7771,                 1.0585,                0.68603,                0.67802,                0.69941,                0.31824,                 1.8752,                 1.8183,                  1.016,               0.061618,              0.0036179,              0.0036179
                     43,                 1.9022,                0.93785,                 1.1293,                0.71313,                0.66873,                0.67881,                0.29961,                 1.9393,                 1.2859,                 1.0219,                0.06069,              0.0036898,              0.0036898
                     44,                 1.5433,                0.95309,                 1.1359,                 0.6991,                0.65635,                0.66856,                0.29826,                 1.9053,                 1.3314,                 1.0223,               0.059761,              0.0037611,              0.0037611
                     45,                 1.6505,                 0.7692,                 1.0329,                0.72651,                0.64706,                0.68351,                0.32504,                 1.8493,                 1.6357,                 1.0172,               0.058832,              0.0038317,              0.0038317
                     46,                 1.4024,                 0.8152,                 1.1234,                0.75273,                0.63145,                0.66416,                0.31709,                  1.807,                 1.4395,                 1.0222,               0.057902,              0.0039017,              0.0039017
                     47,                  1.451,                0.71578,                  1.031,                0.74826,                0.64396,                0.67123,                0.32347,                 1.7995,                 1.4785,                 1.0164,               0.056971,               0.003971,               0.003971
                     48,                 1.2842,                0.66348,                  1.032,                0.76244,                0.65015,                0.67919,                0.31566,                 1.8173,                 1.5325,                 1.0217,                0.05604,              0.0040397,              0.0040397
                     49,                 1.9423,                0.76868,                 1.0553,                0.74431,                0.67183,                0.68419,                0.28234,                 1.9975,                 1.6129,                 1.0306,               0.055108,              0.0041077,              0.0041077
                     50,                 1.7887,                0.75121,                0.98389,                0.74431,                0.67183,                0.68419,                0.28234,                 1.9975,                 1.6129,                 1.0306,               0.054175,               0.004175,               0.004175
                     51,                 1.6921,                0.72731,                  1.003,                0.70177,                0.67802,                0.65328,                0.27602,                 1.9531,                 2.0006,                 1.0329,               0.053242,              0.0042417,              0.0042417
                     52,                 1.7038,                0.76428,                0.99175,                0.70177,                0.67802,                0.65328,                0.27602,                 1.9531,                 2.0006,                 1.0329,               0.052308,              0.0043077,              0.0043077
                     53,                 1.5696,                0.95456,                 1.1704,                0.70501,                0.65015,                0.62029,                0.27716,                 1.9165,                 1.3525,                 1.0322,               0.051373,               0.004373,               0.004373
                     54,                 1.8538,                0.82056,                 1.0627,                0.70501,                0.65015,                0.62029,                0.27716,                 1.9165,                 1.3525,                 1.0322,               0.050438,              0.0044377,              0.0044377
                     55,                 1.7765,                0.78794,                 1.0398,                0.73486,                0.68645,                0.67757,                0.28639,                   1.88,                 1.4298,                 1.0301,               0.049502,              0.0045017,              0.0045017
                     56,                 1.3347,                0.80555,                 1.0535,                0.73486,                0.68645,                0.67757,                0.28639,                   1.88,                 1.4298,                 1.0301,               0.048565,              0.0045651,              0.0045651
                     57,                 1.4002,                0.78975,                 1.0376,                0.74965,                0.67492,                0.67314,                0.28975,                 1.8866,                 1.3521,                 1.0406,               0.047628,              0.0046278,              0.0046278
